A&B,Anode,Bnode,recordtime,Traveltime,Numtrips,Link Length,osm_class,Lanes,Speed,vol per lane,Volume
424536071919595921,42453607,1919595921,40456.70833,62.6995,1,57.745,secondary,1,1.88,201,201
424309891722116498,42430989,1722116498,40456.70833,13.9737,43,224.871,secondary,1,32.92,1748,1748
424536101919595921,42453610,1919595921,40456.70833,20.0142,79,230.684,primary,1,23.58,382,382
103866724103866722,103866724,103866722,40456.70833,4.90656,1,77.28,tertiary,1,32.22,1736,1736
103866575103872820,103866575,103872820,40456.70833,92.4152,1,262.12,tertiary,1,5.80,524,524
59330094042436527,593300940,42436527,40456.70833,56.3824,53,100.05,residential,1,3.63,361,361
177308440542431165,1773084405,42431165,40456.70833,117.209,10,178.761,residential,1,3.12,317,317
103866726103866724,103866726,103866724,40456.70833,5.44509,1,85.762,tertiary,1,32.22,1736,1736
27915513442831190,279155134,42831190,40456.70833,21.6848,1,77.189,tertiary,1,7.28,613,613
229717275242852816,2297172752,42852816,40456.70833,6.22739,3,92.907,construction,1,30.52,1701,1701
424299981061531527,42429998,1061531527,40456.70833,29.7574,94,94.109,residential,1,6.47,566,566
106127689106122928,106127689,106122928,40456.70833,5.63564,16,54.889,primary,1,19.92,626,626
232448222442455181,2324482224,42455181,40456.70833,53.4961,2,225.86,residential,1,8.64,678,678
103866383103875882,103866383,103875882,40456.70833,41.7574,2,163.444,secondary,1,8.01,649,649
24870760142459636,248707601,42459636,40456.70833,2.55783,12,76.735,residential,1,61.36,1347,1347
2721952712821304136,272195271,2821304136,40456.70833,30.2351,18,71.464,secondary,1,4.83,456,456
4245957942453080,42459579,42453080,40456.70833,13.0225,14,65.977,residential,1,10.36,739,739
4290457342815935,42904573,42815935,40456.70833,17.9892,1,49.471,residential,1,5.63,512,512
28290905982408364022,2829090598,2408364022,40456.70833,18.2549,1,110.734,residential,1,12.41,779,779
42429023595473295,42429023,595473295,40456.70833,87.0158,3,166.178,secondary,1,3.91,384,384
56782041542749817,567820415,42749817,40456.70833,8.80265,1,47.997,secondary,1,11.15,758,758
103866153103880629,103866153,103880629,40456.70833,239.536,1,313.993,residential,1,2.68,277,277
178267270542459493,1782672705,42459493,40456.70833,15.3976,34,65.623,secondary,1,8.72,681,681
4285193342871181,42851933,42871181,40456.70833,20.2019,1,79.073,tertiary,1,8.01,649,649
4290420642824223,42904206,42824223,40456.70833,33.4069,2,209.476,residential,1,12.83,783,783
103873528440243584,103873528,440243584,40456.70833,16.05,1,78.664,residential,1,10.03,729,729
58811525842748754,588115258,42748754,40456.70833,10.8425,6,126.722,secondary,1,23.91,354,354
4250923242482469,42509232,42482469,40456.70833,29.7053,1,79.205,residential,1,5.45,500,500
4250903942490300,42509039,42490300,40456.70833,58.6075,1,140.15,residential,1,4.89,460,460
42429017595473185,42429017,595473185,40456.70833,25.0007,1,122.533,secondary,1,10.03,729,729
4245949342453398,42459493,42453398,40456.70833,15.7197,35,107.327,secondary,1,13.97,786,786
4245943642453472,42459436,42453472,40456.70833,23.3982,56,133.127,unclassified,1,11.64,768,768
593816391246649429,593816391,246649429,40456.70833,14.6913,158,92.992,trunk,2,12.95,783,1567
12038063201203806378,1203806320,1203806378,40456.70833,13.3157,51,114.964,unclassified,1,17.66,722,722
4250923942480069,42509239,42480069,40456.70833,103.834,1,79.691,residential,1,1.57,169,169
4290157542901572,42901575,42901572,40456.70833,24.8156,1,116.558,secondary,1,9.61,715,715
59636607160653937,596366071,60653937,40456.70833,29.2341,1,255.936,motorway,2,17.91,713,1426
4275403942756701,42754039,42756701,40456.70833,7.01003,3,75.956,secondary,1,22.16,489,489
4284974042935217,42849740,42935217,40456.70833,10.4744,6,79.56,tertiary,1,15.54,772,772
103866617103860939,103866617,103860939,40456.70833,6.43839,1,56.899,tertiary,1,18.08,707,707
59729448342881924,597294483,42881924,40456.70833,2.41273,1,72.382,secondary,1,61.36,1347,1347
612730081370721870,61273008,1370721870,40456.70833,7.32593,139,115.386,motorway,2,32.22,1736,3471
4250821142478365,42508211,42478365,40456.70833,140.01,1,356.958,unclassified,1,5.21,484,484
595729853374482644,595729853,374482644,40456.70833,8.02675,10,104.367,motorway,2,26.60,96,191
103866091103866094,103866091,103866094,40456.70833,38.7725,1,158.359,residential,1,8.35,666,666
4290066042923772,42900660,42923772,40456.70833,10.8585,203,118.768,primary,1,22.37,474,474
276317945277046311,276317945,277046311,40456.70833,71.7429,5,350.833,primary,1,10.00,728,728
4245963642442939,42459636,42442939,40456.70833,5.80417,12,174.125,residential,1,61.36,1347,1347
4284975342932492,42849753,42932492,40456.70833,21.4592,209,162.997,primary,1,15.54,772,772
427384252313404814,42738425,2313404814,40456.70833,14.6071,1,79.826,primary,1,11.18,759,759
4290421142815961,42904211,42815961,40456.70833,14.2241,3,122.807,residential,1,17.66,722,722
424357142698702581,42435714,2698702581,40456.70833,23.3117,167,125.635,primary,1,11.02,755,755
1698103483483582707,1698103483,483582707,40456.70833,2.00023,277,60.007,unclassified,1,61.36,1347,1347
103866251103866253,103866251,103866253,40456.70833,10.5258,1,82.459,secondary,1,16.02,764,764
59390944642430607,593909446,42430607,40456.70833,6.13917,166,46.631,secondary,1,15.54,772,772
42497721598054736,42497721,598054736,40456.70833,10.7097,1,59.08,secondary,1,11.28,761,761
4285129242882364,42851292,42882364,40456.70833,3.67315,8,76.511,secondary,1,42.61,1810,1810
42437428596776017,42437428,596776017,40456.70833,11.8441,200,80.109,secondary,1,13.83,786,786
103866255103866257,103866255,103866257,40456.70833,10.4169,1,81.606,secondary,1,16.02,764,764
103866253103866255,103866253,103866255,40456.70833,10.138,1,79.421,secondary,1,16.02,764,764
4245943642440943,42459436,42440943,40456.70833,23.5172,7,86.144,unclassified,1,7.49,624,624
4290382142823969,42903821,42823969,40456.70833,53.5906,2,205.301,residential,1,7.84,641,641
103866247103866250,103866247,103866250,40456.70833,12.2239,1,95.762,tertiary,1,16.02,764,764
103866250103866251,103866250,103866251,40456.70833,8.18891,1,64.152,secondary,1,16.02,764,764
42430664593839894,42430664,593839894,40456.70833,8.21068,333,77.187,primary,1,19.23,660,660
17336142981722116498,1733614298,1722116498,40456.70833,67.9734,18,274.406,residential,1,8.26,661,661
42469214370870741,42469214,370870741,40456.70833,19.3495,5,78.113,unclassified,1,8.26,661,661
4245957942440476,42459579,42440476,40456.70833,6.58238,5,79.346,residential,1,24.66,288,288
424406971775270664,42440697,1775270664,40456.70833,25.6192,38,75.114,primary,1,6.00,537,537
298788114530475483,298788114,530475483,40456.70833,8.23142,1,62.523,motorway_link,1,15.54,772,772
59771356442465230,597713564,42465230,40456.70833,45.0314,3,189.694,primary,1,8.62,677,677
4275385642753861,42753856,42753861,40456.70833,36.7206,1,179.974,residential,1,10.03,729,729
4290065742920467,42900657,42920467,40456.70833,20.2272,4,79.172,residential,1,8.01,649,649
4280298442802987,42802984,42802987,40456.70833,4.21941,4,50.862,secondary,1,24.66,288,288
4290066542920407,42900665,42920407,40456.70833,17.8328,1,81.979,secondary,1,9.40,708,708
2760606831398594289,276060683,1398594289,40456.70833,6.34951,1,100.007,unclassified,1,32.22,1736,1736
232448222442434226,2324482224,42434226,40456.70833,24.8869,2,77.618,secondary,1,6.38,561,561
2447553689100661124,2447553689,100661124,40456.70833,5.14425,73,50.103,motorway,2,19.92,626,1252
427493712860412627,42749371,2860412627,40456.70833,4.16554,1,48.685,residential,1,23.91,354,354
4250915942472251,42509159,42472251,40456.70833,26.3954,1,167.075,secondary,1,12.95,783,783
28448531622708237394,2844853162,2708237394,40456.70833,20.6478,2,81.582,trunk,2,8.08,653,1306
4245982042427242,42459820,42427242,40456.70833,37.6272,19,54.872,unclassified,1,2.98,304,304
